"gene_accession_id","disease_id"
"MGI:3843694","DOID:0060684"
"MGI:87891","DOID:0060684"
"MGI:109575","DOID:0110544"
"MGI:88447","DOID:0110545"
"MGI:102523","DOID:0110546"
"MGI:104785","DOID:0110552"
"MGI:3039629","DOID:0110555"
"MGI:1926945","DOID:0110555"
"MGI:2151016","DOID:0110563"
"MGI:2665170","DOID:0110567"
"MGI:2685615","DOID:0110573"
"MGI:2442832","DOID:0110588"
"MGI:1278313","DOID:0110593"
"MGI:1347048","DOID:0110938"
"MGI:3836896","DOID:0111520"
"MGI:3836895","DOID:0111520"
"MGI:2137410","DOID:0111520"
"MGI:99459","DOID:0060855"
"MGI:104687","DOID:0110033"
"MGI:97138","DOID:0110033"
"MGI:104688","DOID:0110033"
"MGI:98730","DOID:0060656"
"MGI:3617850","DOID:0060719"
"MGI:1917311","DOID:0080257"
"MGI:2676312","DOID:0060713"
"MGI:99461","DOID:0060713"
"MGI:1923810","DOID:0060713"
"MGI:1920970","DOID:0060713"
"MGI:99954","DOID:0111064"
"MGI:2140175","DOID:0090105"
"MGI:94910","DOID:0050949"
"MGI:5465568","DOID:0050949"
"MGI:1890380","DOID:0081206"
"MGI:2389008","DOID:0111149"
"MGI:107437","DOID:0110275"
"MGI:1349385","DOID:0110276"
"MGI:1346524","DOID:0110277"
"MGI:894698","DOID:0110278"
"MGI:1346523","DOID:0110279"
"MGI:1346525","DOID:0110280"
"MGI:1330233","DOID:0110281"
"MGI:1917057","DOID:0110282"
"MGI:2447586","DOID:0110299"
"MGI:98864","DOID:0110283"
"MGI:3576659","DOID:0110284"
"MGI:101864","DOID:0110293"
"MGI:1923097","DOID:0110295"
"MGI:1921050","DOID:0050565"
"MGI:103285","DOID:0050565"
"MGI:1289160","DOID:0111640"
"MGI:1890219","DOID:0110467"
"MGI:2153816","DOID:0110471"
"MGI:1919338","DOID:0110473"
"MGI:1202064","DOID:0110474"
"MGI:107588","DOID:0110475"
"MGI:7587715","DOID:0110475"
"MGI:95720","DOID:0110475"
"MGI:104510","DOID:0110477"
"MGI:2149209","DOID:0110480"
"MGI:1891428","DOID:0110481"
"MGI:1349410","DOID:0110486"
"MGI:1860425","DOID:0110487"
"MGI:1261811","DOID:0110488"
"MGI:2183924","DOID:0110489"
"MGI:2682003","DOID:0110490"
"MGI:2442676","DOID:0110491"
"MGI:104785","DOID:0110495"
"MGI:3046339","DOID:0110496"
"MGI:96079","DOID:0110497"
"MGI:2146574","DOID:0110500"
"MGI:1929293","DOID:0110505"
"MGI:2446166","DOID:0110506"
"MGI:2685847","DOID:0110511"
"MGI:3769724","DOID:0110515"
"MGI:99569","DOID:0110519"
"MGI:2151016","DOID:0110520"
"MGI:2443538","DOID:0110523"
"MGI:2139535","DOID:0110526"
"MGI:2445168","DOID:0110533"
"MGI:1891247","DOID:0110535"
"MGI:1352749","DOID:0110537"
"MGI:2685163","DOID:0110942"
"MGI:1350931","DOID:0110942"
"MGI:1100089","DOID:0110943"
"MGI:88269","DOID:0110941"
"MGI:1347048","DOID:0110944"
"MGI:2655574","DOID:0110939"
"MGI:2443207","DOID:0110945"
"MGI:1919232","DOID:0110940"
"MGI:104695","DOID:0060854"
"MGI:104696","DOID:0060854"
"MGI:1347521","DOID:0060764"
"MGI:1916034","DOID:0060764"
"MGI:1931237","DOID:0080060"
"MGI:1351338","DOID:0080062"
"MGI:1891731","DOID:0080029"
"MGI:95813","DOID:0080042"
"MGI:5546358","DOID:0110120"
"MGI:3851132","DOID:0110120"
"MGI:109340","DOID:0110120"
"MGI:96136","DOID:0110120"
"MGI:3851244","DOID:0110120"
"MGI:88180","DOID:0110122"
"MGI:1353500","DOID:0050655"
"MGI:1277215","DOID:0110123"
"MGI:1919019","DOID:0110132"
"MGI:1924066","DOID:0110138"
"MGI:1934860","DOID:0110139"
"MGI:1913610","DOID:0110140"
"MGI:2135267","DOID:0110124"
"MGI:1927136","DOID:0110125"
"MGI:2143311","DOID:0110126"
"MGI:1919819","DOID:0110127"
"MGI:1891836","DOID:0110128"
"MGI:1923510","DOID:0110130"
"MGI:5308011","DOID:9206"
"MGI:95541","DOID:0050476"
"MGI:96968","DOID:0050476"
"MGI:109626","DOID:0050476"
"MGI:103150","DOID:0110142"
"MGI:1927248","DOID:0110143"
"MGI:1930643","DOID:0110144"
"MGI:2153465","DOID:0110145"
