"omim_id","disease_id"
"OMIM:605676","DOID:0090128"
"OMIM:601371","DOID:83"
"OMIM:600881","DOID:0110258"
"OMIM:601885","DOID:0110253"
"OMIM:615274","DOID:0110251"
"OMIM:613763","DOID:0110250"
"OMIM:615277","DOID:0110263"
"OMIM:116200","DOID:0110231"
"OMIM:116100","DOID:0110240"
"OMIM:610202","DOID:0110256"
"OMIM:604307","DOID:0110235"
"OMIM:116300","DOID:0110248"
"OMIM:615188","DOID:0110236"
"OMIM:601547","DOID:0110269"
"OMIM:115700","DOID:0110234"
"OMIM:116800","DOID:0110255"
"OMIM:116600","DOID:0110229"
"OMIM:604219","DOID:0110266"
"OMIM:604772","DOID:0060675"
"OMIM:611938","DOID:0060676"
"OMIM:616145","DOID:0081122"
"OMIM:601238","DOID:0060694"
"OMIM:609528","DOID:0060337"
"OMIM:617300","DOID:0081030"
"OMIM:615346","DOID:0112309"
"OMIM:616795","DOID:0111742"
"OMIM:603284","DOID:0060670"
"OMIM:603285","DOID:0060671"
"OMIM:300352","DOID:0050800"
"OMIM:117650","DOID:0111248"
"OMIM:275630","DOID:0050729"
"OMIM:606595","DOID:0110163"
"OMIM:607831","DOID:0110167"
"OMIM:614228","DOID:0110175"
"OMIM:614436","DOID:0110169"
"OMIM:615025","DOID:0110170"
"OMIM:616155","DOID:0110171"
"OMIM:616688","DOID:0110181"
"OMIM:608323","DOID:0110199"
"OMIM:616039","DOID:0110203"
"OMIM:118220","DOID:0110148"
"OMIM:118200","DOID:0110152"
"OMIM:601098","DOID:0110151"
"OMIM:118300","DOID:0110153"
"OMIM:118210","DOID:0110154"
"OMIM:609260","DOID:0110155"
"OMIM:600882","DOID:0110159"
"OMIM:605588","DOID:0110156"
"OMIM:601472","DOID:0110164"
"OMIM:607684","DOID:0110165"
"OMIM:145900","DOID:0050540"
"OMIM:601382","DOID:0110191"
"OMIM:604563","DOID:0110190"
"OMIM:615284","DOID:0110194"
"OMIM:601596","DOID:0110183"
"OMIM:601455","DOID:0110186"
"OMIM:605253","DOID:0110195"
"OMIM:609311","DOID:0110192"
"OMIM:611228","DOID:0110184"
"OMIM:601152","DOID:0080068"
"OMIM:616505","DOID:0080068"
"OMIM:302800","DOID:0110209"
"OMIM:214800","DOID:0050834"
"OMIM:270550","DOID:0050946"
"OMIM:169100","DOID:0060563"
"OMIM:214500","DOID:2935"
"OMIM:118400","DOID:1856"
"OMIM:241510","DOID:0110915"
"OMIM:600803","DOID:1949"
"OMIM:600092","DOID:0060644"
"OMIM:614078","DOID:0112224"
"OMIM:200150","DOID:0050766"
"OMIM:303100","DOID:9821"
"OMIM:260500","DOID:2626"
"OMIM:300243","DOID:0060825"
"OMIM:612242","DOID:0060389"
"OMIM:612001","DOID:0060394"
"OMIM:614527","DOID:0060404"
"OMIM:613533","DOID:0060434"
"OMIM:607872","DOID:0060410"
"OMIM:612530","DOID:0060412"
"OMIM:611867","DOID:0060413"
"OMIM:615538","DOID:0060437"
"OMIM:158170","DOID:0060732"
"OMIM:109543","DOID:1040"
"OMIM:151400","DOID:1040"
"OMIM:609630","DOID:1040"
"OMIM:612557","DOID:1040"
"OMIM:612558","DOID:1040"
"OMIM:612559","DOID:1040"
"OMIM:608232","DOID:8552"
"OMIM:259680","DOID:0060645"
"OMIM:246700","DOID:0060357"
"OMIM:607115","DOID:0090029"
"OMIM:119550","DOID:0080313"
"OMIM:119570","DOID:0110214"
"OMIM:119600","DOID:13994"
"OMIM:216330","DOID:13994"
"OMIM:129500","DOID:14693"
"OMIM:612918","DOID:0080351"
"OMIM:119800","DOID:11836"
"OMIM:303600","DOID:3783"
"OMIM:135900","DOID:0070042"
"OMIM:216550","DOID:0111590"
"OMIM:120200","DOID:12270"
"OMIM:120300","DOID:12270"
"OMIM:216820","DOID:12270"
"OMIM:114500","DOID:9256"
"OMIM:611721","DOID:0111330"
"OMIM:613779","DOID:8354"
"OMIM:615412","DOID:0090138"
"OMIM:610031","DOID:0090132"
"OMIM:612540","DOID:0080101"
"OMIM:602093","DOID:0080314"
"OMIM:614500","DOID:0111022"
"OMIM:615374","DOID:0111024"
"OMIM:615860","DOID:0111025"
"OMIM:120970","DOID:0111005"
"OMIM:616502","DOID:0081447"
"OMIM:619531","DOID:0081448"
"OMIM:604116","DOID:0111013"
"OMIM:601777","DOID:0111011"
"OMIM:612775","DOID:0111020"
"OMIM:201710","DOID:0050811"
"OMIM:201810","DOID:0050811"
"OMIM:201910","DOID:0050811"
"OMIM:202010","DOID:0050811"
"OMIM:202110","DOID:0050811"
"OMIM:202400","DOID:2236"
"OMIM:617641","DOID:0112359"
"OMIM:610256","DOID:11367"
"OMIM:616278","DOID:0111066"
"OMIM:209880","DOID:0060731"
"OMIM:603523","DOID:0060646"
"OMIM:142340","DOID:3827"
"OMIM:222400","DOID:3827"
"OMIM:610187","DOID:3827"
"OMIM:613217","DOID:0060776"
"OMIM:212066","DOID:0070253"
"OMIM:266265","DOID:0070255"
"OMIM:608594","DOID:0111135"
"OMIM:269700","DOID:0111136"
"OMIM:613327","DOID:0111138"
"OMIM:617360","DOID:0112247"
"OMIM:217700","DOID:0060649"
"OMIM:618719","DOID:0112014"
"OMIM:607855","DOID:0110636"
"OMIM:254100","DOID:0050557"
"OMIM:613204","DOID:0110639"
"OMIM:613205","DOID:0110640"
"OMIM:254300","DOID:0110668"
"OMIM:616326","DOID:0110675"
"OMIM:610542","DOID:0110660"
"OMIM:616720","DOID:0110673"
"OMIM:616321","DOID:0110666"
"OMIM:605809","DOID:0110678"
"OMIM:608931","DOID:0110679"
"OMIM:603034","DOID:0110667"
"OMIM:254210","DOID:0110671"
"OMIM:615120","DOID:0110657"
"OMIM:616325","DOID:0110670"
"OMIM:117000","DOID:3529"
"OMIM:255320","DOID:0080991"
"OMIM:206300","DOID:2861"
"OMIM:206400","DOID:2861"
"OMIM:266200","DOID:0111077"
"OMIM:310700","DOID:0111790"
"OMIM:214700","DOID:0060296"
"OMIM:310500","DOID:0110870"
"OMIM:257270","DOID:0110865"
"OMIM:613216","DOID:0110867"
"OMIM:613830","DOID:0110868"
"OMIM:614565","DOID:0110869"
"OMIM:615058","DOID:0110864"
"OMIM:300071","DOID:0110871"
"OMIM:610445","DOID:0110862"
"OMIM:163500","DOID:0110863"
"OMIM:610048","DOID:0060445"
"OMIM:121400","DOID:0060287"
"OMIM:217300","DOID:0060287"
"OMIM:122470","DOID:0080505"
"OMIM:610759","DOID:0080507"
"OMIM:300882","DOID:0080509"
"OMIM:300464","DOID:3393"
"OMIM:607339","DOID:3393"
"OMIM:608316","DOID:3393"
"OMIM:608318","DOID:3393"
"OMIM:608320","DOID:3393"
"OMIM:610947","DOID:3393"
"OMIM:611139","DOID:3393"
"OMIM:612030","DOID:3393"
"OMIM:614293","DOID:3393"
"OMIM:610042","DOID:0090130"
"OMIM:611489","DOID:0090030"
"OMIM:614662","DOID:0090140"
"OMIM:218040","DOID:0050469"
"OMIM:158350","DOID:0050657"
"OMIM:304110","DOID:14737"
"OMIM:182212","DOID:2340"
"OMIM:600593","DOID:2340"
"OMIM:619727","DOID:0112340"
"OMIM:123400","DOID:11949"
"OMIM:218800","DOID:3803"
"OMIM:123500","DOID:2339"
"OMIM:219050","DOID:11383"
"OMIM:263700","DOID:13271"
"OMIM:219500","DOID:0090142"
"OMIM:219700","DOID:1485"
"OMIM:219750","DOID:1064"
"OMIM:219800","DOID:1064"
"OMIM:219900","DOID:1064"
"OMIM:220100","DOID:9266"
"OMIM:220200","DOID:2785"
"OMIM:300257","DOID:0050437"
"OMIM:261515","DOID:0090031"
"OMIM:304700","DOID:0050757"
"OMIM:194380","DOID:0111576"
"OMIM:125370","DOID:0060162"
"OMIM:300009","DOID:0050699"
"OMIM:300555","DOID:0050699"
"OMIM:125400","DOID:701"
"OMIM:125420","DOID:701"
"OMIM:125490","DOID:4154"
"OMIM:125500","DOID:4154"
"OMIM:194080","DOID:3764"
"OMIM:166950","DOID:5117"
"OMIM:251450","DOID:0060462"
"OMIM:615777","DOID:0060462"
"OMIM:602398","DOID:0070654"
"OMIM:263000","DOID:0050158"
"OMIM:614959","DOID:0080439"
"OMIM:615338","DOID:0080449"
"OMIM:615473","DOID:0080450"
"OMIM:300672","DOID:0080467"
"OMIM:616981","DOID:0080435"
"OMIM:612949","DOID:0080349"
"OMIM:617162","DOID:0080456"
"OMIM:617391","DOID:0080418"
"OMIM:613720","DOID:0080462"
"OMIM:300607","DOID:0080215"
"OMIM:608808","DOID:0060770"
"OMIM:612561","DOID:0111879"
"OMIM:612562","DOID:0111878"
"OMIM:222600","DOID:14687"
"OMIM:222730","DOID:0060650"
"OMIM:106400","DOID:6652"
"OMIM:188400","DOID:11198"
"OMIM:115200","DOID:0110425"
"OMIM:601493","DOID:0110423"
"OMIM:613122","DOID:0110424"
"OMIM:601494","DOID:0110426"
"OMIM:613172","DOID:0110447"
"OMIM:601154","DOID:0110433"
"OMIM:613252","DOID:0110453"
"OMIM:604145","DOID:0110430"
"OMIM:613881","DOID:0110448"
"OMIM:604765","DOID:0110431"
"OMIM:606685","DOID:0110436"
"OMIM:607482","DOID:0110449"
"OMIM:609909","DOID:0110439"
"OMIM:613424","DOID:0110456"
"OMIM:611878","DOID:0110457"
"OMIM:619747","DOID:0081162"
"OMIM:616901","DOID:0070477"
"OMIM:606593","DOID:0060021"
"OMIM:222448","DOID:0090144"
"OMIM:223360","DOID:0090145"
"OMIM:217095","DOID:6406"
"OMIM:190685","DOID:14250"
"OMIM:126600","DOID:0060745"
"OMIM:607208","DOID:0080422"
"OMIM:607323","DOID:0060747"
"OMIM:126800","DOID:12557"
"OMIM:237500","DOID:12308"
"OMIM:310200","DOID:11723"
"OMIM:612780","DOID:0060484"
"OMIM:224700","DOID:14289"
"OMIM:305100","DOID:0111664"
"OMIM:604292","DOID:0060783"
"OMIM:130000","DOID:14720"
"OMIM:225500","DOID:12714"
"OMIM:612651","DOID:0060641"
"OMIM:608089","DOID:1380"
"OMIM:268100","DOID:0090059"
"OMIM:601001","DOID:4644"
"OMIM:615425","DOID:4644"
"OMIM:131760","DOID:0060735"
"OMIM:131950","DOID:0060736"
"OMIM:226670","DOID:0090017"
"OMIM:160120","DOID:0050989"
"OMIM:108500","DOID:0050990"
"OMIM:128200","DOID:0090053"
"OMIM:177000","DOID:13270"
"OMIM:300752","DOID:13270"
"OMIM:189960","DOID:0080171"
"OMIM:133239","DOID:5041"
"OMIM:145500","DOID:10825"
"OMIM:603918","DOID:10825"
"OMIM:604329","DOID:10825"
"OMIM:607329","DOID:10825"
"OMIM:608742","DOID:10825"
"OMIM:610261","DOID:10825"
"OMIM:610262","DOID:10825"
"OMIM:610948","DOID:10825"
"OMIM:611014","DOID:10825"
"OMIM:187950","DOID:2224"
"OMIM:601977","DOID:2224"
"OMIM:614521","DOID:2224"
"OMIM:602473","DOID:0060640"
"OMIM:177650","DOID:13641"
"OMIM:137245","DOID:0050909"
"OMIM:301500","DOID:14499"
"OMIM:227400","DOID:2216"
"OMIM:306700","DOID:12134"
"OMIM:612416","DOID:2229"
"OMIM:234000","DOID:2231"
"OMIM:613225","DOID:2211"
"OMIM:613235","DOID:2211"
"OMIM:607554","DOID:0050650"
"OMIM:608583","DOID:0050650"
"OMIM:608988","DOID:0050650"
"OMIM:611493","DOID:0050650"
"OMIM:611494","DOID:0050650"
"OMIM:612201","DOID:0050650"
"OMIM:612240","DOID:0050650"
"OMIM:613055","DOID:0050650"
"OMIM:613980","DOID:0050650"
"OMIM:614022","DOID:0050650"
"OMIM:614049","DOID:0050650"
"OMIM:614050","DOID:0050650"
"OMIM:615377","DOID:0050650"
"OMIM:615378","DOID:0050650"
"OMIM:615770","DOID:0050650"
"OMIM:600080","DOID:0060761"
"OMIM:120100","DOID:0090062"
"OMIM:616115","DOID:0090065"
"OMIM:604218","DOID:0050831"
"OMIM:615552","DOID:0111731"
"OMIM:263400","DOID:0060474"
"OMIM:602481","DOID:0111182"
"OMIM:603553","DOID:0110922"
"OMIM:608898","DOID:0110923"
"OMIM:603552","DOID:0110924"
"OMIM:143890","DOID:13810"
"OMIM:602485","DOID:0070216"
"OMIM:605019","DOID:0111061"
"OMIM:145980","DOID:0060700"
"OMIM:277460","DOID:0090028"
"OMIM:238600","DOID:14118"
"OMIM:134610","DOID:2987"
"OMIM:249100","DOID:2987"
"OMIM:155240","DOID:0050547"
"OMIM:600512","DOID:0060748"
"OMIM:227650","DOID:0111095"
"OMIM:227645","DOID:0111087"
"OMIM:605724","DOID:0111089"
"OMIM:227646","DOID:0111083"
"OMIM:227850","DOID:0090066"
"OMIM:228000","DOID:0050464"
"OMIM:600072","DOID:0050433"
"OMIM:164280","DOID:0060464"
"OMIM:614326","DOID:0060464"
"OMIM:613630","DOID:0060647"
"OMIM:135100","DOID:13374"
"OMIM:228900","DOID:0050790"
"OMIM:105120","DOID:0050637"
"OMIM:305600","DOID:2120"
"OMIM:603278","DOID:0111128"
"OMIM:603965","DOID:0111129"
"OMIM:607832","DOID:0112245"
"OMIM:188470","DOID:3962"
"OMIM:609218","DOID:0070531"
"OMIM:300623","DOID:0050879"
"OMIM:300624","DOID:14261"
"OMIM:613456","DOID:0081047"
"OMIM:600274","DOID:9255"
"OMIM:105550","DOID:0060213"
"OMIM:136800","DOID:11555"
"OMIM:610158","DOID:11555"
"OMIM:613267","DOID:11555"
"OMIM:613268","DOID:11555"
"OMIM:613269","DOID:11555"
"OMIM:613270","DOID:11555"
"OMIM:613271","DOID:11555"
"OMIM:615523","DOID:11555"
"OMIM:230000","DOID:14500"
"OMIM:228930","DOID:0090067"
"OMIM:253800","DOID:0050559"
"OMIM:136880","DOID:11105"
"OMIM:615074","DOID:0070048"
"OMIM:109350","DOID:8534"
